"SOURCE/TARGET","1-KASP00051","2-KASP00052","3-KASP00053","4-KASP00054","5-KASP00055","6-KASP00056","7-KASP00057","8-KASP00058","9-KASP00059","10-KASP00060","11-KASP00061","12-KASP00062","13-KASP00063","14-KASP00064","15-KASP00065","16-KASP00066","17-KASP00067","18-KASP00068","19-KASP00069","20-KASP00070","21-KASP00071","22-KASP00072","23-KASP00073","24-KASP00074","25-KASP00075","26-KASP00076","27-KASP00077","28-KASP00078","29-KASP00079","30-KASP00080","31-KASP00081","32-KASP00082","33-KASP00083","34-KASP00084","35-KASP00085","36-KASP00086","37-KASP00087","38-KASP00088","39-KASP00089","40-KASP00090","41-KASP00091","42-KASP00092","43-KASP00093","44-KASP00094","45-KASP00095","46-KASP00096","47-KASP00097","48-KASP00098","49-KASP00099","50-KASP00100"
"1-KASP00001","193","170","241","240","219","209","224","234","227","194","254","203","235","231","244","238","243","230","208","236","246","229","253","74","88","80","63","227","246","230","242","196","228","241","233","241","224","215","233","243","229","225","235","219","242","179","191","81","158","219"
"2-KASP00002","241","232","240","239","235","216","244","233","240","226","251","206","219","222","245","235","237","226","242","242","250","231","237","235","235","236","236","225","242","234","220","229","240","254","243","244","228","238","221","222","241","209","210","205","237","224","241","242","229","244"
"3-KASP00003","245","219","236","221","239","225","235","215","181","225","233","233","254","245","240","256","239","244","229","240","246","245","220","240","238","241","234","227","239","223","217","215","239","237","221","221","228","216","235","240","245","233","231","209","223","214","230","223","229","256"
"4-KASP00004","232","227","230","218","238","239","259","226","220","223","214","238","228","221","224","225","233","234","248","241","236","247","239","232","229","221","224","227","208","217","239","234","241","225","226","227","251","229","248","206","243","246","251","227","213","242","229","224","231","226"
"5-KASP00005","219","222","245","254","203","208","240","235","249","236","244","230","221","241","231","237","230","232","220","241","245","185","230","210","218","220","225","232","253","179","176","207","221","237","210","231","236","217","181","232","229","226","225","229","238","233","251","214","236","246"
"6-KASP00006","226","227","233","207","225","224","248","223","242","222","232","222","236","242","234","241","221","237","221","227","243","216","245","232","232","227","237","233","227","226","234","229","242","217","208","225","234","228","243","244","231","242","242","228","223","224","232","238","239","238"
"7-KASP00007","196","180","242","241","233","224","223","242","241","190","260","209","230","227","232","243","231","252","228","241","251","237","239","116","118","122","68","238","246","228","237","203","239","242","231","236","243","215","237","238","229","230","227","209","246","190","203","105","178","232"
"8-KASP00008","189","162","234","239","225","218","227","236","222","191","261","199","228","234","236","238","231","243","223","248","247","246","238","91","97","95","46","231","246","230","236","190","233","240","233","244","227","204","229","236","226","228","230","217","244","180","201","88","146","222"
"9-KASP00009","237","228","209","235","231","216","248","178","209","224","226","234","236","236","230","237","253","232","229","244","233","245","222","233","235","235","235","241","223","220","223","232","228","230","229","248","227","236","245","236","244","239","232","217","230","219","232","229","238","231"
"10-KASP00010","250","226","228","232","228","236","239","222","235","225","230","216","232","239","227","212","238","236","252","242","235","229","222","239","241","235","242","230","187","221","224","247","223","227","235","227","224","242","248","214","225","231","223","226","240","223","229","231","223","224"
"11-KASP00011","235","243","207","248","247","240","244","214","227","237","252","224","234","223","262","206","232","235","239","226","221","238","229","240","244","244","246","224","208","242","239","233","241","237","226","229","231","231","256","245","248","230","237","236","240","240","235","245","215","232"
"12-KASP00012","232","234","183","249","237","249","224","214","221","230","255","224","220","221","243","205","225","234","249","247","203","241","175","254","246","249","247","251","210","230","240","245","247","237","249","251","237","244","243","238","235","224","219","237","246","230","244","245","228","244"
"13-KASP00013","207","203","219","249","225","209","224","207","211","223","249","202","228","248","238","240","227","239","184","212","258","218","224","213","207","202","203","224","241","227","232","109","197","221","172","225","196","105","213","231","204","233","238","206","222","212","225","203","194","239"
"14-KASP00014","242","222","229","236","206","219","222","221","223","235","243","216","232","224","215","222","225","230","247","228","221","232","62","239","233","232","236","235","233","227","241","237","230","231","224","241","228","236","236","245","236","212","208","235","249","214","226","232","212","242"
